Price,Close,High,Low,Open,Volume,M20,M50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2024-01-24,192.8671112060547,194.73133285541883,192.70845082511164,193.7793857004472,53631300,,
2024-01-25,192.53990173339844,194.62227786062397,191.48880306885755,193.5810897970112,54822100,,
2024-01-26,190.8045654296875,193.12491668531047,190.3285994330514,192.63904008919584,44594000,,
2024-01-29,190.120361328125,190.5864167388377,187.98841731539085,190.39800942846193,47145600,,
2024-01-30,186.46136474609375,190.1898085739461,185.89615786346673,189.33702781871273,55859400,,
2024-01-31,182.85191345214844,185.5292584344751,182.8023453182215,185.46974943852436,55467800,,
2024-02-01,185.29127502441406,185.38051582576702,182.27680306565713,182.44537406733116,64885400,,
2024-02-02,184.2897186279297,185.7572891807485,177.74512229855404,178.3500017021196,102551700,,
2024-02-05,186.1043701171875,187.6611968198497,184.27982102914154,186.57042555488334,69668800,,
2024-02-06,187.71078491210938,187.72069551270494,185.2020260688322,185.291266866256,43490800,,
2024-02-07,187.81983947753906,189.4460704904296,187.02655273524672,189.03950895453542,53439000,,
2024-02-08,186.73902893066406,187.94877290356362,185.77717103468487,187.80003823127362,40962000,,
2024-02-09,187.5034942626953,188.63536538849903,186.65954875354646,187.30490815466524,45155200,,
2024-02-12,185.81564331054688,187.32481018702742,185.45820944901192,187.07659264846137,41781900,,
2024-02-13,183.72067260742188,184.88234393093236,182.20158259974826,184.4454786725173,56529500,,
2024-02-14,182.83702087402344,184.2071864451767,181.13922150541597,183.9986922104331,54630500,,
2024-02-15,182.54908752441406,183.17460050228618,180.05698915939104,182.2413002337134,65434500,,
2024-02-16,181.01011657714844,183.53201471208476,180.3746804207065,182.11220281800786,49752500,,
